年,給料,税収,生活費,余剰金,累計
チュートリアル,0,0,0,1000000,1000000
1970,950000,80000,800000,70000,1070000
1971,1090000,90000,900000,100000,1170000
1972,1250000,100000,1000000,150000,1320000
1973,1530000,140000,1140000,250000,1570000
1974,1930000,190000,1400000,340000,1910000
1975,2030000,200000,1560000,270000,2180000
1976,2270000,230000,1710000,330000,2510000
1977,2480000,270000,1850000,360000,2870000
1978,2660000,290000,1930000,440000,3310000
1979,2820000,320000,2000000,500000,3810000
1980,2950000,350000,2150000,450000,4260000
1981,3100000,370000,2260000,470000,4730000
1982,3200000,390000,2310000,500000,5230000
1983,3300000,420000,2360000,520000,5750000
1984,3420000,440000,2420000,560000,6310000
1985,3510000,460000,2470000,580000,6890000
1986,3620000,490000,2480000,650000,7540000
1987,3700000,510000,2490000,700000,8240000
1988,3850000,550000,2500000,800000,9040000
1989,4020000,590000,2560000,870000,9910000
1990,4250000,640000,2650000,960000,10870000
1991,4470000,690000,2700000,1080000,11950000
1992,4550000,710000,2770000,1070000,13020000
1993,4520000,720000,2800000,1000000,14020000
1994,4540000,730000,2830000,980000,15000000
1995,4570000,750000,2820000,1000000,16000000
1996,4610000,780000,2830000,1000000,17000000
1997,4670000,800000,2880000,990000,17990000
1998,4650000,820000,2900000,930000,18920000
1999,4600000,820000,2900000,880000,19800000
2000,4610000,840000,2850000,920000,20720000
2001,4540000,840000,2850000,850000,21570000
2002,4480000,850000,2820000,810000,22380000
2003,4440000,840000,2820000,780000,23160000
2004,4390000,840000,2820000,730000,23890000
2005,4270000,770000,2800000,700000,24590000
2006,4350000,870000,2800000,680000,25270000
2007,4370000,880000,2800000,690000,25960000
2008,4300000,890000,2850000,560000,26520000
2009,4060000,850000,2800000,410000,26930000
2010,4120000,870000,2800000,450000,27380000
2011,4090000,880000,2800000,410000,27790000
2012,4080000,880000,2800000,400000,28190000
2013,4140000,910000,2800000,430000,28620000
2014,4150000,940000,2870000,340000,28960000
2015,4200000,950000,2900000,350000,29310000
2016,4220000,970000,2900000,350000,29660000
2017,4320000,1020000,2900000,400000,30060000
2018,4400000,1040000,2930000,430000,30490000
2019,4360000,1040000,2950000,370000,30860000
2020,4330000,1030000,2950000,350000,31210000
2021,4430000,1080000,2950000,400000,31610000
2022,4570000,1130000,3000000,440000,32050000
2023,4600000,1150000,3100000,350000,32400000
2024,4780000,1180000,3600000,0,32400000
2025,5000000,1250000,3700000,50000,32450000
